epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2112.56,1.45139,1.7324,1.34588,0.93975,0.90153,0.93966,0.59378,1.26502,0.89003,1.22527,0.00333075,0.00333075,0.00333075
2,2251.32,1.44581,0.97392,1.33947,0.96239,0.88244,0.93837,0.56409,1.39945,0.77658,1.33283,0.00659811,0.00659811,0.00659811
3,2386.97,1.4966,0.95099,1.39395,0.94237,0.87907,0.93073,0.59207,1.26994,0.77492,1.27724,0.00979947,0.00979947,0.00979947
4,2522.08,1.49854,0.92603,1.42055,0.95615,0.90015,0.94295,0.6161,1.22608,0.71589,1.27724,0.009703,0.009703,0.009703
5,2657.74,1.45434,0.85726,1.39274,0.95323,0.88781,0.94596,0.63674,1.21287,0.65802,1.24343,0.009604,0.009604,0.009604
6,2793.2,1.42498,0.81737,1.36547,0.94894,0.9027,0.94668,0.62282,1.24114,0.63334,1.25762,0.009505,0.009505,0.009505
7,2928.34,1.40412,0.78288,1.35244,0.96757,0.90335,0.95554,0.64635,1.17956,0.61241,1.21565,0.009406,0.009406,0.009406
8,3062.76,1.37658,0.75567,1.339,0.96364,0.91258,0.9548,0.64931,1.17965,0.57396,1.20592,0.009307,0.009307,0.009307
9,3197.89,1.35868,0.73799,1.32434,0.97439,0.91792,0.95956,0.65849,1.17432,0.55819,1.20215,0.009208,0.009208,0.009208
10,3333.42,1.34464,0.72705,1.31333,0.96943,0.92416,0.96287,0.66878,1.1512,0.5244,1.18333,0.009109,0.009109,0.009109
11,3468.52,1.33437,0.70974,1.30618,0.97274,0.91838,0.96372,0.65837,1.16622,0.53143,1.19211,0.00901,0.00901,0.00901
12,3603.4,1.31627,0.69776,1.29548,0.97052,0.92742,0.96479,0.67072,1.14409,0.50877,1.17956,0.008911,0.008911,0.008911
13,3739.1,1.30845,0.68372,1.2908,0.97745,0.93735,0.97151,0.67662,1.12153,0.49777,1.16705,0.008812,0.008812,0.008812
14,3874.45,1.29464,0.67847,1.28251,0.96853,0.94158,0.97284,0.67104,1.15517,0.49638,1.17667,0.008713,0.008713,0.008713
15,4009.6,1.2928,0.66819,1.27814,0.9768,0.93783,0.97432,0.67252,1.14469,0.49064,1.17259,0.008614,0.008614,0.008614
16,4144.56,1.28678,0.66418,1.27786,0.9751,0.9422,0.96961,0.67537,1.12456,0.47796,1.16356,0.008515,0.008515,0.008515
17,4279.52,1.27441,0.64942,1.26881,0.97312,0.94755,0.97789,0.68696,1.11029,0.4665,1.15393,0.008416,0.008416,0.008416
18,4414.51,1.28113,0.6515,1.27428,0.9752,0.94512,0.97516,0.68502,1.12016,0.46391,1.16032,0.008317,0.008317,0.008317
19,4548.95,1.26167,0.64225,1.26126,0.98221,0.94269,0.97773,0.69058,1.11066,0.44669,1.15257,0.008218,0.008218,0.008218
20,4683.84,1.25391,0.63373,1.25826,0.96454,0.95112,0.97662,0.69247,1.10996,0.44904,1.14985,0.008119,0.008119,0.008119
21,4818.74,1.25793,0.63283,1.25485,0.97832,0.94237,0.97893,0.69426,1.10723,0.44353,1.15034,0.00802,0.00802,0.00802
22,4953.96,1.25263,0.62562,1.25602,0.98284,0.94598,0.97741,0.68912,1.11463,0.43983,1.15065,0.007921,0.007921,0.007921
23,5088.8,1.24014,0.6136,1.24536,0.98373,0.94706,0.97962,0.69182,1.11017,0.43511,1.15181,0.007822,0.007822,0.007822
24,5224.18,1.2393,0.61489,1.25067,0.97977,0.94658,0.97994,0.69658,1.10842,0.42874,1.14745,0.007723,0.007723,0.007723
25,5358.98,1.23374,0.61086,1.23904,0.97935,0.94852,0.98098,0.69852,1.10214,0.42037,1.1406,0.007624,0.007624,0.007624
26,5494.07,1.23037,0.61245,1.24093,0.98122,0.94512,0.98064,0.69701,1.10347,0.42023,1.14346,0.007525,0.007525,0.007525
27,5629.57,1.22302,0.60548,1.24033,0.98248,0.95309,0.98063,0.69702,1.10269,0.41358,1.14515,0.007426,0.007426,0.007426
28,5764.25,1.21992,0.6008,1.23278,0.97999,0.95125,0.98223,0.70014,1.09979,0.4143,1.14145,0.007327,0.007327,0.007327
29,5899.42,1.21881,0.59648,1.23436,0.9804,0.94852,0.98132,0.70019,1.09217,0.41251,1.13646,0.007228,0.007228,0.007228
30,6034.56,1.21209,0.59468,1.23056,0.98661,0.949,0.98227,0.70111,1.09038,0.40944,1.13649,0.007129,0.007129,0.007129
31,6170,1.21196,0.59293,1.23067,0.98396,0.95308,0.98343,0.70471,1.0904,0.40361,1.13719,0.00703,0.00703,0.00703
32,6305.2,1.20832,0.58391,1.22818,0.98588,0.94852,0.9825,0.70213,1.08989,0.40286,1.13714,0.006931,0.006931,0.006931
33,6440.12,1.20062,0.58498,1.22203,0.9854,0.95094,0.9828,0.7064,1.08674,0.40156,1.13569,0.006832,0.006832,0.006832
34,6574.89,1.19915,0.57568,1.22019,0.98443,0.9524,0.9833,0.70753,1.0837,0.39723,1.13313,0.006733,0.006733,0.006733
35,6709.9,1.19067,0.57657,1.21414,0.98561,0.94998,0.98354,0.70867,1.08546,0.39608,1.13425,0.006634,0.006634,0.006634
36,6845.58,1.19408,0.57513,1.219,0.98987,0.94896,0.98327,0.70896,1.08465,0.39361,1.13232,0.006535,0.006535,0.006535
37,6980.32,1.19278,0.57522,1.21619,0.9879,0.95182,0.98294,0.70708,1.08556,0.39065,1.13283,0.006436,0.006436,0.006436
38,7115.39,1.18409,0.56671,1.21739,0.98828,0.95192,0.98306,0.70885,1.08637,0.38878,1.13417,0.006337,0.006337,0.006337
39,7250.2,1.18251,0.56598,1.21901,0.98543,0.95046,0.98278,0.70799,1.08508,0.38661,1.13538,0.006238,0.006238,0.006238
40,7385.24,1.17747,0.56067,1.21074,0.98296,0.95268,0.98314,0.70941,1.08207,0.3836,1.13412,0.006139,0.006139,0.006139
41,7520.36,1.17895,0.56109,1.21099,0.98309,0.95532,0.98369,0.70777,1.08167,0.38314,1.13434,0.00604,0.00604,0.00604
42,7655.36,1.17155,0.55924,1.21087,0.98582,0.95289,0.98343,0.70868,1.08362,0.38167,1.1355,0.005941,0.005941,0.005941
43,7790.5,1.16543,0.55413,1.20078,0.98396,0.95342,0.98353,0.70841,1.08459,0.38166,1.13486,0.005842,0.005842,0.005842
44,7925.41,1.16812,0.55362,1.20386,0.98578,0.95338,0.98384,0.70851,1.08445,0.38147,1.13429,0.005743,0.005743,0.005743
45,8060.29,1.16636,0.55174,1.1999,0.98692,0.95278,0.98395,0.71007,1.08355,0.37995,1.13335,0.005644,0.005644,0.005644
46,8195.02,1.16084,0.54974,1.1962,0.98815,0.9524,0.9841,0.70919,1.08408,0.37892,1.13288,0.005545,0.005545,0.005545
47,8329.85,1.16006,0.54698,1.19888,0.98791,0.95338,0.98475,0.71002,1.08326,0.3773,1.13235,0.005446,0.005446,0.005446
48,8464.92,1.16428,0.55039,1.19683,0.9894,0.95227,0.98416,0.70951,1.08369,0.3769,1.13165,0.005347,0.005347,0.005347
49,8599.98,1.15742,0.54141,1.19305,0.98823,0.95338,0.98437,0.71027,1.08432,0.37745,1.13195,0.005248,0.005248,0.005248
